# Phase-4 BNO08X report/reinitialization fault injection.
# BNO model: 20 ms report interval, 300 ms host reinitialization delay.
t_ms,pitch_deg,battery_v,imu_online,i2c_connected,i2c_latency_ms,i2c_nack,uart_connected,uart_latency_ms,gnss_valid,uart_corrupt_byte,uart_crc_error,uart_framing_error,loop_jitter_ms,sd_connected,sd_fail_write,sd_latency_ms,touch_pressed,touch_x,touch_y,bno_model,bno_reset,bno_reports_enabled,bno_stall_reports,bno_report_interval_ms,bno_reinit_delay_ms,bno_auto_reinit
0,0.0,4.10,1,1,2,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,20,300,1
299,0.5,4.10,1,1,2,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,20,300,1
300,1.0,4.09,1,1,2,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,20,300,1
320,1.2,4.09,1,1,2,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,20,300,1
500,2.0,4.08,1,1,2,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,20,300,1
600,3.0,4.08,1,1,2,0,1,0,1,0,0,0,0,1,0,1,1,160,205,1,0,1,0,20,300,1
650,3.5,4.07,1,1,2,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,20,300,1
750,4.0,4.07,1,1,2,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,1,20,300,1
751,4.1,4.07,1,1,2,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,1,20,300,1
800,4.5,4.06,1,1,2,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,20,300,1
1300,5.0,4.06,1,1,2,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,20,300,1
1400,6.0,4.05,1,1,2,0,1,0,1,0,0,0,0,1,0,1,1,160,205,1,0,1,0,20,300,1
1450,6.5,4.05,1,1,2,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,20,300,1
1500,7.0,4.04,1,1,2,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,1,1,0,20,300,1
1520,7.2,4.04,1,1,2,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,1,1,0,20,300,1
1600,7.5,4.04,1,1,2,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,20,300,1
1800,8.0,4.03,1,1,2,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,20,300,1
2300,8.5,4.03,1,1,2,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,20,300,1
2400,9.0,4.02,1,1,2,0,1,0,1,0,0,0,0,1,0,1,1,160,205,1,0,1,0,20,300,1
2450,9.2,4.02,1,1,2,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,20,300,1
2500,9.5,4.02,1,1,2,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,1,1,0,20,300,1
2600,10.0,4.01,1,0,2,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,20,300,1
2700,10.5,4.01,1,1,2,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,20,300,1
3000,11.0,4.00,1,1,2,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,20,300,1
3500,11.5,4.00,1,1,2,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,20,300,1
