# Phase-2 virtual-bus fault injection demo.
# I2C timeout threshold: 10 ms. GNSS stale threshold: 500 ms.
t_ms,pitch_deg,battery_v,imu_online,i2c_connected,i2c_latency_ms,uart_connected,uart_latency_ms,gnss_valid,touch_pressed,touch_x,touch_y
0,0.0,4.10,1,1,2,1,0,1,0,0,0
500,1.0,4.09,1,1,2,1,0,1,0,0,0
600,2.0,4.08,1,1,2,1,0,1,1,160,205
700,3.0,4.08,1,1,2,1,0,1,0,0,0
800,4.0,4.07,1,1,25,1,0,1,0,0,0
900,5.0,4.07,1,1,25,1,0,1,0,0,0
1000,6.0,4.06,1,1,2,1,0,1,0,0,0
1200,7.0,4.06,1,1,2,1,0,1,0,0,0
1500,8.0,4.05,1,1,2,1,0,1,0,0,0
1600,9.0,4.05,1,1,2,0,0,1,1,160,205
1700,10.0,4.04,1,1,2,0,0,1,0,0,0
2000,11.0,4.04,1,1,2,0,0,1,0,0,0
2201,12.0,4.03,1,1,2,0,0,1,0,0,0
2300,13.0,4.03,1,1,2,1,200,1,0,0,0
2400,14.0,4.02,1,1,2,1,200,0,0,0,0
2500,15.0,4.02,1,1,2,1,200,0,0,0,0
2600,16.0,4.01,1,1,2,1,0,1,0,0,0
