# Phase-5 INA226 device-model scenario.
# Uses 588 us shunt + 588 us bus conversion time and 16-sample averaging (~18.8 ms/update).
t_ms,pitch_deg,battery_v,imu_online,i2c_connected,i2c_latency_ms,i2c_nack,uart_connected,uart_latency_ms,gnss_valid,uart_corrupt_byte,uart_crc_error,uart_framing_error,loop_jitter_ms,sd_connected,sd_fail_write,sd_latency_ms,touch_pressed,touch_x,touch_y,bno_model,bno_reset,bno_reports_enabled,bno_stall_reports,bno_report_interval_ms,bno_reinit_delay_ms,bno_auto_reinit,ina_model,ina_powered,ina_device_ack,ina_reset,ina_stall,ina_calibration,ina_math_overflow,ina_bus_voltage_v,ina_current_a,ina_conversion_us,ina_averages,ina_reinit_delay_ms
0,0.0,4.10,1,1,2,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,20,300,1,1,1,1,0,0,1,0,12.0,2.0,588,16,20
20,0.2,4.10,1,1,2,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,20,300,1,1,1,1,0,0,1,0,12.0,2.0,588,16,20
40,0.4,4.10,1,1,2,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,20,300,1,1,1,1,0,0,1,0,12.0,2.0,588,16,20
500,1.0,4.09,1,1,2,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,20,300,1,1,1,1,0,0,1,0,12.0,2.0,588,16,20
600,2.0,4.09,1,1,2,0,1,0,1,0,0,0,0,1,0,1,1,160,205,0,0,1,0,20,300,1,1,1,1,0,0,1,0,12.0,2.0,588,16,20
605,2.1,4.09,1,1,2,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,20,300,1,1,1,1,0,0,1,0,12.0,2.0,588,16,20
620,2.2,4.08,1,1,2,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,20,300,1,1,1,1,0,0,0,0,12.0,2.0,588,16,20
640,2.3,4.08,1,1,2,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,20,300,1,1,1,1,0,0,1,0,12.0,2.0,588,16,20
660,2.4,4.08,1,1,2,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,20,300,1,1,1,1,0,1,1,0,12.0,2.0,588,16,20
720,2.5,4.08,1,1,2,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,20,300,1,1,1,1,0,1,1,0,12.0,2.0,588,16,20
760,2.6,4.08,1,1,2,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,20,300,1,1,1,1,0,1,1,0,12.0,2.0,588,16,20
780,2.7,4.07,1,1,2,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,20,300,1,1,1,1,0,0,1,0,12.0,2.0,588,16,20
800,2.8,4.07,1,1,2,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,20,300,1,1,1,0,0,0,1,0,12.0,2.0,588,16,20
820,2.9,4.07,1,1,2,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,20,300,1,1,1,1,0,0,1,0,12.0,2.0,588,16,20
840,3.0,4.07,1,1,2,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,20,300,1,1,1,1,0,0,1,0,12.0,2.0,588,16,20
860,3.1,4.06,1,1,2,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,20,300,1,1,1,1,0,0,1,0,12.0,2.0,588,16,20
880,3.2,4.06,1,1,2,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,20,300,1,1,1,1,0,0,1,0,40.0,2.0,588,16,20
900,3.3,4.06,1,1,2,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,20,300,1,1,1,1,0,0,1,1,12.0,2.0,588,16,20
920,3.4,4.06,1,1,2,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,20,300,1,1,1,1,1,0,1,0,12.0,2.0,588,16,20
940,3.5,4.05,1,1,2,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,20,300,1,1,1,1,0,0,1,0,12.0,2.0,588,16,20
960,3.6,4.05,1,1,2,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,20,300,1,1,1,1,0,0,1,0,12.0,2.0,588,16,20
980,3.7,4.05,1,1,2,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,20,300,1,1,0,1,0,0,1,0,12.0,2.0,588,16,20
1000,3.8,4.05,1,1,2,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,20,300,1,1,1,1,0,0,1,0,12.0,2.0,588,16,20
1020,3.9,4.04,1,1,2,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,20,300,1,1,1,1,0,0,1,0,12.0,2.0,588,16,20
1040,4.0,4.04,1,1,2,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,20,300,1,1,1,1,0,0,1,0,12.0,2.0,588,16,20
1060,4.1,4.04,1,1,2,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,20,300,1,1,1,1,0,0,1,0,12.0,45.0,588,16,20
1080,4.2,4.04,1,1,2,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,20,300,1,1,1,1,0,0,1,0,12.0,2.0,588,16,20
