# Phase 9: production pending-command retry + real CommandIngress/replay + full telemetry.
# action: 0 none, 1 mode, 2 manual, 3 waypoint, 4 heading, 5 arm, 6 start, 7 stop, 8 estop, 9 clear, 10 disarm
# fault: 0 none, 1 drop, 2 corrupt, 3 framing
# The C2M drop rows discard the first ACK; the pending command is retried 100 ms later with the same inner IDs.
t_ms,c2c_connected,c2c_latency_ms,c2m_connected,c2m_latency_ms,c2c_fault,c2m_fault,gnss_valid,action,mode,manual_mask,manual_left,manual_right,manual_rear,manual_propulsion,heading_rad,waypoint_latitude_deg,waypoint_longitude_deg,corrupt_canonical_crc
0,1,1,1,1,0,0,1,0,3,15,0.20,-0.20,0.10,0.30,0.00,36.40100,136.60050,0
100,1,1,1,1,0,0,1,0,3,15,0.20,-0.20,0.10,0.30,0.00,36.40100,136.60050,0
200,1,1,1,1,0,0,1,0,3,15,0.20,-0.20,0.10,0.30,0.00,36.40100,136.60050,0
300,1,1,1,1,0,0,1,1,3,15,0.20,-0.20,0.10,0.30,0.00,36.40100,136.60050,0
310,1,1,1,1,0,1,1,0,3,15,0.20,-0.20,0.10,0.30,0.00,36.40100,136.60050,0
450,1,1,1,1,0,0,1,0,3,15,0.20,-0.20,0.10,0.30,0.00,36.40100,136.60050,0
500,1,1,1,1,0,0,1,3,3,15,0.20,-0.20,0.10,0.30,0.00,36.40100,136.60050,0
510,1,1,1,1,0,1,1,0,3,15,0.20,-0.20,0.10,0.30,0.00,36.40100,136.60050,0
660,1,1,1,1,0,0,1,0,3,15,0.20,-0.20,0.10,0.30,0.00,36.40100,136.60050,0
700,1,1,1,1,0,0,1,5,3,15,0.20,-0.20,0.10,0.30,0.00,36.40100,136.60050,0
760,1,1,1,1,0,0,1,0,3,15,0.20,-0.20,0.10,0.30,0.00,36.40100,136.60050,0
800,1,1,1,1,0,0,1,6,3,15,0.20,-0.20,0.10,0.30,0.00,36.40100,136.60050,0
1000,1,1,1,1,0,0,1,0,3,15,0.20,-0.20,0.10,0.30,0.00,36.40100,136.60050,0
1200,1,1,1,1,0,0,1,0,3,15,0.20,-0.20,0.10,0.30,0.00,36.40100,136.60050,0
1450,1,1,1,1,0,0,1,0,3,15,0.20,-0.20,0.10,0.30,0.00,36.40100,136.60050,0
1500,1,1,1,1,0,0,1,7,3,15,0.20,-0.20,0.10,0.30,0.00,36.40100,136.60050,0
1580,1,1,1,1,0,0,1,0,3,15,0.20,-0.20,0.10,0.30,0.00,36.40100,136.60050,0
