# Phase 9: production MANUAL command freshness stream.
# Initial ManualCommand is Pending/ACK tracked. After acceptance, fresh ManualCommand IDs are emitted every 200 ms.
# STOP terminates the refresh stream.
t_ms,c2c_connected,c2c_latency_ms,c2m_connected,c2m_latency_ms,c2c_fault,c2m_fault,gnss_valid,action,mode,manual_mask,manual_left,manual_right,manual_rear,manual_propulsion,heading_rad,waypoint_latitude_deg,waypoint_longitude_deg,corrupt_canonical_crc
0,1,1,1,1,0,0,1,0,0,15,0.25,-0.15,0.05,0.30,0.00,36.40100,136.60050,0
100,1,1,1,1,0,0,1,0,0,15,0.25,-0.15,0.05,0.30,0.00,36.40100,136.60050,0
200,1,1,1,1,0,0,1,0,0,15,0.25,-0.15,0.05,0.30,0.00,36.40100,136.60050,0
300,1,1,1,1,0,0,1,2,0,15,0.25,-0.15,0.05,0.30,0.00,36.40100,136.60050,0
380,1,1,1,1,0,0,1,0,0,15,0.25,-0.15,0.05,0.30,0.00,36.40100,136.60050,0
400,1,1,1,1,0,0,1,5,0,15,0.25,-0.15,0.05,0.30,0.00,36.40100,136.60050,0
480,1,1,1,1,0,0,1,0,0,15,0.25,-0.15,0.05,0.30,0.00,36.40100,136.60050,0
500,1,1,1,1,0,0,1,6,0,15,0.25,-0.15,0.05,0.30,0.00,36.40100,136.60050,0
700,1,1,1,1,0,0,1,0,0,15,0.25,-0.15,0.05,0.30,0.00,36.40100,136.60050,0
900,1,1,1,1,0,0,1,0,0,15,0.25,-0.15,0.05,0.30,0.00,36.40100,136.60050,0
1100,1,1,1,1,0,0,1,0,0,15,0.25,-0.15,0.05,0.30,0.00,36.40100,136.60050,0
1400,1,1,1,1,0,0,1,0,0,15,0.25,-0.15,0.05,0.30,0.00,36.40100,136.60050,0
1500,1,1,1,1,0,0,1,7,0,15,0.25,-0.15,0.05,0.30,0.00,36.40100,136.60050,0
1600,1,1,1,1,0,0,1,0,0,15,0.25,-0.15,0.05,0.30,0.00,36.40100,136.60050,0
1900,1,1,1,1,0,0,1,0,0,15,0.25,-0.15,0.05,0.30,0.00,36.40100,136.60050,0
