# Phase 8: actual boat_protocol wire frames over 921600 8N1.
# fault: 0=none, 1=drop, 2=corrupt encoded frame, 3=UART framing loss.
# Reverse-link loss demonstrates the production heartbeat chain:
# CONTROL->COMM stale (>1000 ms) -> COMM stops heartbeat -> CONTROL timeout (>500 ms) -> local stop.
t_ms,c2c_connected,c2c_latency_ms,c2m_connected,c2m_latency_ms,c2c_fault,c2m_fault,gnss_valid,arm,start,stop,estop,clear_estop,disarm
0,1,1,1,1,0,0,1,0,0,0,0,0,0
100,1,1,1,1,0,0,1,0,0,0,0,0,0
200,1,1,1,1,0,0,1,0,0,0,0,0,0
300,1,1,1,1,0,0,1,1,0,0,0,0,0
350,1,1,1,1,0,0,1,0,0,0,0,0,0
400,1,1,1,1,0,0,1,0,1,0,0,0,0
450,1,1,1,1,0,0,1,0,0,0,0,0,0
500,1,1,1,1,2,0,1,0,0,0,0,0,0
550,1,1,1,1,0,0,1,0,0,0,0,0,0
700,1,1,0,1,0,0,1,0,0,0,0,0,0
1200,1,1,0,1,0,0,1,0,0,0,0,0,0
1700,1,1,0,1,0,0,1,0,0,0,0,0,0
2200,1,1,0,1,0,0,1,0,0,0,0,0,0
2300,1,1,0,1,0,0,1,0,0,0,0,0,0
