# Phase 8: healthy-link production safety commands and real CommandAck responses.
t_ms,c2c_connected,c2c_latency_ms,c2m_connected,c2m_latency_ms,c2c_fault,c2m_fault,gnss_valid,arm,start,stop,estop,clear_estop,disarm
0,1,1,1,1,0,0,1,0,0,0,0,0,0
100,1,1,1,1,0,0,1,0,0,0,0,0,0
200,1,1,1,1,0,0,1,0,0,0,0,0,0
300,1,1,1,1,0,0,1,1,0,0,0,0,0
350,1,1,1,1,0,0,1,0,0,0,0,0,0
400,1,1,1,1,0,0,1,0,1,0,0,0,0
450,1,1,1,1,0,0,1,0,0,0,0,0,0
600,1,1,1,1,0,0,1,0,0,1,0,0,0
650,1,1,1,1,0,0,1,0,0,0,0,0,0
800,1,1,1,1,0,0,1,0,0,0,1,0,0
850,1,1,1,1,0,0,1,0,0,0,0,0,0
1000,1,1,1,1,0,0,1,0,0,0,0,1,0
1050,1,1,1,1,0,0,1,0,0,0,0,0,0
