# Phase 9: configure AUTO_WAYPOINT, enter RUNNING, then lose CONTROL->COMM.
# Full six-frame telemetry and control heartbeat stop reaching COMM; after 1000 ms COMM stops host heartbeat,
# then CONTROL reaches the 500 ms heartbeat fail-safe timeout and self-stops.
t_ms,c2c_connected,c2c_latency_ms,c2m_connected,c2m_latency_ms,c2c_fault,c2m_fault,gnss_valid,action,mode,manual_mask,manual_left,manual_right,manual_rear,manual_propulsion,heading_rad,waypoint_latitude_deg,waypoint_longitude_deg,corrupt_canonical_crc
0,1,1,1,1,0,0,1,0,3,15,0.20,-0.20,0.10,0.30,0.00,36.40100,136.60050,0
100,1,1,1,1,0,0,1,0,3,15,0.20,-0.20,0.10,0.30,0.00,36.40100,136.60050,0
200,1,1,1,1,0,0,1,0,3,15,0.20,-0.20,0.10,0.30,0.00,36.40100,136.60050,0
300,1,1,1,1,0,0,1,1,3,15,0.20,-0.20,0.10,0.30,0.00,36.40100,136.60050,0
380,1,1,1,1,0,0,1,0,3,15,0.20,-0.20,0.10,0.30,0.00,36.40100,136.60050,0
400,1,1,1,1,0,0,1,3,3,15,0.20,-0.20,0.10,0.30,0.00,36.40100,136.60050,0
480,1,1,1,1,0,0,1,0,3,15,0.20,-0.20,0.10,0.30,0.00,36.40100,136.60050,0
500,1,1,1,1,0,0,1,5,3,15,0.20,-0.20,0.10,0.30,0.00,36.40100,136.60050,0
580,1,1,1,1,0,0,1,0,3,15,0.20,-0.20,0.10,0.30,0.00,36.40100,136.60050,0
600,1,1,1,1,0,0,1,6,3,15,0.20,-0.20,0.10,0.30,0.00,36.40100,136.60050,0
700,1,1,1,1,0,0,1,0,3,15,0.20,-0.20,0.10,0.30,0.00,36.40100,136.60050,0
710,1,1,0,1,0,0,1,0,3,15,0.20,-0.20,0.10,0.30,0.00,36.40100,136.60050,0
1200,1,1,0,1,0,0,1,0,3,15,0.20,-0.20,0.10,0.30,0.00,36.40100,136.60050,0
1700,1,1,0,1,0,0,1,0,3,15,0.20,-0.20,0.10,0.30,0.00,36.40100,136.60050,0
2200,1,1,0,1,0,0,1,0,3,15,0.20,-0.20,0.10,0.30,0.00,36.40100,136.60050,0
2300,1,1,0,1,0,0,1,0,3,15,0.20,-0.20,0.10,0.30,0.00,36.40100,136.60050,0
