# Phase-3 transport, timing and storage fault injection.
# Jitter warning threshold: +/-20 ms. SD timeout threshold: 20 ms.
t_ms,pitch_deg,battery_v,imu_online,i2c_connected,i2c_latency_ms,i2c_nack,uart_connected,uart_latency_ms,gnss_valid,uart_corrupt_byte,uart_crc_error,uart_framing_error,loop_jitter_ms,sd_connected,sd_fail_write,sd_latency_ms,touch_pressed,touch_x,touch_y
0,0.0,4.10,1,1,2,0,1,0,1,0,0,0,0,1,0,1,0,0,0
500,1.0,4.09,1,1,2,0,1,0,1,0,0,0,0,1,0,1,0,0,0
600,2.0,4.08,1,1,2,0,1,0,1,0,0,0,0,1,0,1,1,160,205
700,3.0,4.08,1,1,2,1,1,0,1,0,0,0,0,1,0,1,0,0,0
800,4.0,4.07,1,1,2,0,1,0,1,0,0,0,0,1,0,1,0,0,0
1300,5.0,4.07,1,1,2,0,1,0,1,0,0,0,0,1,0,1,0,0,0
1400,6.0,4.06,1,1,2,0,1,0,1,0,0,0,0,1,0,1,1,160,205
1500,7.0,4.06,1,1,2,0,1,0,1,1,0,0,0,1,0,1,0,0,0
1600,8.0,4.05,1,1,2,0,1,0,1,0,1,0,0,1,0,1,0,0,0
1700,9.0,4.05,1,1,2,0,1,0,1,0,0,1,0,1,0,1,0,0,0
1800,10.0,4.04,1,1,2,0,1,0,0,0,0,0,35,1,0,1,0,0,0
1900,11.0,4.04,1,1,2,0,1,0,0,0,0,0,0,1,1,1,0,0,0
2000,12.0,4.03,1,1,2,0,1,0,0,0,0,0,0,1,0,30,0,0,0
2100,13.0,4.03,1,1,2,0,1,0,1,1,0,0,-30,1,1,1,0,0,0
2200,14.0,4.02,1,1,2,0,1,0,1,0,0,0,0,1,0,1,0,0,0
