# Phase-6 VL53L5CX 8x8 ranging and recovery scenario.
# Extends the exact Phase-5 39-column format with 10 VL53L5CX columns.
t_ms,pitch_deg,battery_v,imu_online,i2c_connected,i2c_latency_ms,i2c_nack,uart_connected,uart_latency_ms,gnss_valid,uart_corrupt_byte,uart_crc_error,uart_framing_error,loop_jitter_ms,sd_connected,sd_fail_write,sd_latency_ms,touch_pressed,touch_x,touch_y,bno_model,bno_reset,bno_reports_enabled,bno_stall_reports,bno_report_interval_ms,bno_reinit_delay_ms,bno_auto_reinit,ina_model,ina_powered,ina_device_ack,ina_reset,ina_stall,ina_calibration,ina_math_overflow,ina_bus_voltage_v,ina_current_a,ina_conversion_us,ina_averages,ina_reinit_delay_ms,tof_model,tof_powered,tof_device_ack,tof_reset,tof_ranging_enabled,tof_stall_frames,tof_frequency_hz,tof_default_distance_mm,tof_invalid_zone,tof_invalid_status
0,0.0,4.10,1,1,2,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,20,300,1,1,1,1,0,0,1,0,12.0,1.0,588,16,20,1,1,1,0,1,0,10,900,255,255
300,0.5,4.09,1,1,2,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,20,300,1,1,1,1,0,0,1,0,12.0,1.0,588,16,20,1,1,1,0,1,0,10,900,255,255
500,1.0,4.09,1,1,2,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,20,300,1,1,1,1,0,0,1,0,12.0,1.0,588,16,20,1,1,1,0,1,0,10,900,255,255
600,1.5,4.08,1,1,2,0,1,0,1,0,0,0,0,1,0,1,1,160,205,1,0,1,0,20,300,1,1,1,1,0,0,1,0,12.0,1.0,588,16,20,1,1,1,0,1,0,10,850,255,255
700,2.0,4.08,1,1,2,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,20,300,1,1,1,1,0,0,1,0,12.0,1.1,588,16,20,1,1,1,0,1,0,10,800,27,255
800,2.5,4.07,1,1,2,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,20,300,1,1,1,1,0,0,1,0,12.0,1.1,588,16,20,1,1,1,0,1,0,10,780,255,255
900,3.0,4.07,1,1,2,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,20,300,1,1,1,1,0,0,1,0,12.0,1.2,588,16,20,1,1,1,0,1,1,10,760,255,255
1100,3.5,4.06,1,1,2,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,20,300,1,1,1,1,0,0,1,0,12.0,1.2,588,16,20,1,1,1,0,1,1,10,740,255,255
1201,4.0,4.06,1,1,2,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,20,300,1,1,1,1,0,0,1,0,12.0,1.2,588,16,20,1,1,1,0,1,1,10,720,255,255
1300,4.5,4.05,1,1,2,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,20,300,1,1,1,1,0,0,1,0,12.0,1.3,588,16,20,1,1,1,0,1,0,10,700,255,255
1400,5.0,4.05,1,1,2,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,20,300,1,1,1,1,0,0,1,0,12.0,1.3,588,16,20,1,1,0,0,1,0,10,680,255,255
1500,5.5,4.04,1,1,2,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,20,300,1,1,1,1,0,0,1,0,12.0,1.4,588,16,20,1,1,1,0,1,0,10,660,255,255
1800,6.0,4.04,1,1,2,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,20,300,1,1,1,1,0,0,1,0,12.0,1.4,588,16,20,1,1,1,0,1,0,10,640,255,255
1900,6.5,4.03,1,1,2,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,20,300,1,1,1,1,0,0,1,0,12.0,1.5,588,16,20,1,1,1,1,1,0,10,620,255,255
2000,7.0,4.03,1,1,2,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,20,300,1,1,1,1,0,0,1,0,12.0,1.5,588,16,20,1,1,1,0,1,0,10,600,255,255
2200,7.5,4.02,1,0,2,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,20,300,1,1,1,1,0,0,1,0,12.0,1.6,588,16,20,1,1,1,0,1,0,10,580,255,255
2300,8.0,4.02,1,1,2,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,20,300,1,1,1,1,0,0,1,0,12.0,1.6,588,16,20,1,1,1,0,1,0,10,560,255,255
2600,8.5,4.01,1,1,2,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,20,300,1,1,1,1,0,0,1,0,12.0,1.7,588,16,20,1,1,1,0,1,0,10,540,255,255
